工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模
活动运营实习生,100-101元/天,3个月,工作职责：1、 立足项目目标，结合重要节点，参与面向目标用户的活动策划；2、 负责活动物料准备，包括活动H5文案、重要活动推文、常规活动海报；3、 跟进活动执行情况，优化活动执行效果，并进行活动的收尾工作；4、 其他事宜岗位要求：1、态度端正、认真负责、思路敏捷、5G冲浪达人、有一定文案能力、沟通表达无鸭梨；2、有活动经验和设计能力优先；3、工作地点在中关村，需坐班，可实习3-6个月，一周5天（接受偶尔请假），面试通过后1周内到岗最佳，不在北京或长时间不能到岗勿投哦！！！你将获得：1、获得互联网运营实战经验2、一份还可以的实习工资+实习证明3、团队成员年轻，工作氛围好，leader nice；4、实习生众多，颜值高的小姐姐和小哥哥也很多，说不定能顺便解决你的单身问题哦；5、偶有明星出没，说不定可以带薪追追星~,不限,1人,2024-09-30 11:29,搜狐,北京 - 海淀区 - 科学院南路2号院3号楼搜狐媒体大厦,互联网|游戏|软件,3001人及以上
海外运营实习生,180-200元/天,3个月,工作职责：岗位职责：1.对运营数据分析和数据可视化，包括且不限于主播、营收、活动数据等2.协同本地员工解决用户侧反馈、需求3.参与活动运营，包括活动配置、上线和复盘等4.筛选优质创作者和内容进行推送岗位要求：岗位要求1. 本科或研究生在读学生2. 英语6级以上，有良好的书面和口头表达能力，印尼语专业优先3. 适应性和责任心强4. Base深圳，一周到岗5天（最好）,本科,1人,2024-09-25 10:50,腾讯音乐,深圳 - 南山区 - 科兴科学园,互联网|游戏|软件,1001~3000人
电商运营,4-6K/月,6个月,工作职责：1、协助天猫和抖音平台的电商运营工作，整理汇总各项运营数据，分析原因给予改善建议，与团队一起达成销售目标2、快速了解平台操作及公司产品，关注行业动态，收集竞品信息，优化店铺关键词策略，协助电商运营专员的推广工作3、对接平台日常电商活动，落地执行。4、对接客服售前、售后工作的接待处理，订单的审核、系统导入及推单发货。岗位要求：1、本科及以上，医药、电商、广告、计算机、市场营销、国际贸易、会计学等专业优先，能熟练使用wps基础办公软件2、对电商行业有较高的学习热情，对互联网信息敏感；3、适应快节奏工作，抗压能力好；学习能力强，责任心强；阳光积极。4、能够配合工作安排和协调，实习期满6个月的优秀实习生，公司提供毕业转正的机会。你将获得：- 薪酬方面：对标互联网大厂企业的薪资水平，提供具有市场竞争力的薪酬待遇；  - 发展方面：快速发展互联网医药平台，个人发展机会多，您可以接触公司核心业务，用实打实的业务场景为您赋能，助力您的成长；  - 培训方面：新人入职安排制度培训、业务培训、小组组长带教、产品知识培训，帮助您全面了解公司发展，快速提升专业技能；  - 福利方面：提供五险一金、绩效奖金、餐补、高温补贴、节日福利等；  - 工作氛围：公司年轻化，95后居多，扁平化管理，不讲 title，不论资排辈。,本科,2人,2024-09-25 11:53,知原药业,杭州 - 余杭区 - 杭州市余杭区爱力中心B座12层,生物|医药,301~1000人
销售实习生,150-151元/天,2个月,工作职责：职责描述：1. 负责地区销售机会的跟进/转接，协助执行客户联络2. 完成报价单/合同、标书、文件整理等流程性工作岗位要求：任职要求：1. 本科或研究生在读，理工科优先，通信/自动化/光学类专业优先2. 表达流利，热情大方，最好比较细心3. 有自驱力，能有效完成分配的实习任务,本科,1人,2024-09-26 08:59,虹科电子,广州 - 黄埔区 - 广州市黄埔区开泰大道30号佳都PCI科技园6号楼1-7层上海 - 闵行区 - 上海市闵行区紫星路588号2幢703室,IT|通信|电子,51~100人
内网运营,200-220元/天,3个月,工作职责：岗位职责：1. 支持员工沟通渠道、员工沟通项目数据整理、分析，参与调研，洞察用户行为，发现问题，提出改进建议。2. 支持员工社区日常运营，进行年轻化的内容、活动策划，营造用户喜爱、积极的社区氛围。3. 支持组内日常事务。岗位要求：岗位基本要求：1. 实习时间满3个月起，每周到岗至少3天。2. 专业不限，优先考虑新闻、传播、广告、营销等相关专业。3. 较好的沟通表达基础及意愿，具备一定文字功底。4. 有一定数据、表格处理能力，逻辑思维能力较强，对数据敏感。具备以下优先：1. 有产品、运营工作实习经验优先。2. 自媒体创作经验丰富者优先。3. 有HR实习经验者优先。你将获得：岗位亮点：1. 广泛的内容探索空间，深度体验内容产品运营。,本科,1人,2024-09-26 10:01,美团,北京 - 朝阳区 - 望京东路4号恒电大厦,互联网|游戏|软件,1001~3000人
项目助理,145-150元/天,3个月,工作职责：项目实习生（远程）【了解恒上】恒上咨询是一家稳健成长的管理咨询公司，致力于为高新科技（AI、云计算、5G等）、金融、教育科技、文旅等行业中的知名企业，提供高端人力资源解决方案，在细分赛道持续深耕，为客户输出可信的行业市场认知与可用之才；我们的服务包括但不限于：招聘策略制定、高端及高潜人才甄聘；客户包括：亚信系企业，金山，东软，PingCAP，天润融通、智齿科技，宽带资本，新东方文旅集团等。【工作职责】1. 进行特定行业市场调研，查询并整理所需知识点及相关信息，总结生成目标公司表格及或行研报告、报表；2. 根据项目模板编辑候选人简历，生成候选人报告；3. 协助进行业务及数据触发、运营；4. 完成上级交代的其他支持性工作；5. 候选人沟通（含面试通知）及跟进。6. 完成上级交代的其他支持性工作；岗位要求：【岗位要求】7. 一本及以上统招本科/研究生学历，专业包括但不限于行政、经管类等（985、211学校优先）；8. 可连续实习3个月及以上，每周保证4天及以上；9. 学习和沟通能力强、细心负责、积极主动；愿意尝试新工具以提升工作效率；10. 熟练使用Office等各项办公软件。你将获得：【实习福利】11. 薪资150/天，月结；可远程或现场办公；工作时间：工作日9:30-18:30；12. 提升数字化能力、时间管理、结果导向意识等软性技能；13. 理解、洞察多个符合国家支持倡导的行业赛道，获取真实、有价值的状势认知；14. 积极、共赢、利他的共事团队；15. 提供实习证明，对人力资源管理咨询有兴趣的小伙伴，经过实习后愿意继续共事的，有转正机会。,本科,1人,2024-09-26 12:34,恒上咨询,北京 - 通州区 - 万达广场,咨询/法律/人力资源,11~50人
C端产品运营（实习生）,180-181元/天,3个月,工作职责：硬性要求：来公司上班，每周4+天，3个月以上，180元/天，有内容相关实习经验！1.挖掘提炼产品的亮点与卖点，结合当前的市场需求，输出宣传文章、解决方案、标杆案例等，为产品提供优质的高传播性内容；2.参与产品运营体系的搭建工作，从产品、用户、市场等多角度综合考虑拟定运营规划。（以上主要是针对团队负责的成人在职提升的课程，从产品的维度在活动、素材、促销等层面赋能销售，有产品主管1V1带，然后逐步独立负责某一产品）岗位要求：1.本科以上，新闻学、营销学、产品相关专业优先；2.学习力强，对新鲜事物感兴趣，逻辑思维能力强；2.有自媒体运营经验、文字功底好，善用文字清晰表达观点；4.对数据有一定的敏感度，并且能够进行基础的分析总结。你将获得：1.全套标准化运营培训；2.了解在职群体，提前掌握职场晋升秘诀；3.光环管理类课程免费学习（项目、产品、软考、数据分析等）。,本科,2人,2024-09-27 13:54,光环国际,北京 - 昌平区 - 立水桥中东路398号中煤建设集团大厦东段3层光环国际,教育培训,101~300人
投标专员实习生,150-200元/天,6个月,工作职责：1、配合业务部门做好投标工作，根据销售确认应标材料。2、按照招标文件要求和规范和把控时间节点，完成响应材料和投标文件的编制工作。3、负责投标资源的整合，跨部门协助提供招投标专业化支持。4、招投标相关数据采集/分析。5、领导交办的其他工作。岗位要求：1、本科或以上学历；有招投标相关工作经验者优先；2、能熟练运用办公软件，能独立使用Excel制作常规报表图表，了解常用函数的运用；3、工作态度积极开朗，善于思考，学习能力、沟通能力和理解能力强。入职后有2-4周的在岗培训，能够7月底前到岗优先,本科,3人,2024-09-26 13:55,理邦仪器,深圳 - 坪山新区 - 广东省深圳市坪山区坑梓街道金沙社区金辉路15号,生物|医药,1001~3000人
结算实习生,75-100元/天,3个月,工作职责：1、协助部门数据统计分析；2、协助部门档案资料的扫描；3、协助部门业务档案整理归档；4、协助部门打印客户回单及整理；5、协助部门日常会务等事务筹备。岗位要求：1、全日制在校学生，男女均可，本科，经济管理类等专业；2、熟练使用各种办公软件，熟练掌握PowerPoint制作和excel使用；3、沟通能力好，责任感强，具有良好的服务意识和工作态度；4、诚实守信、认真负责，积极主动、吃苦耐劳；5、每周能到岗超4-5天者，优先考虑。相关信息： 1、工作时间：周一至周五，9:00—17:45，每周至少到岗4-5天更佳； 2、工作地点：广州市天河区广州大道中圣丰广场国际金融中心； 3、实习期：至少3个月，实习期满足可开具实习证明。你将获得：实习期：至少3个月，实习期满足可开具实习证明。,本科,1人,2024-09-30 11:01,广汽财务公司,广州 - 天河区 - 广州大道中圣丰广场国际金融中心,金融,51~100人
新业务发展部MBA实习生,399-400元/天,6个月,"工作职责：1.*Support end-to-end deal execution, e.g, conducting industry analysis, developing financial models, building up business cases, preparing legal documents (NDA/Term sheet/LOI/SPA) etc.支持日常的交易执行工作，例如进行行业分析、开发财务模型、建立业务案例、准备法律文件（保密协议/条款清单/意向书/分成协议）等。2.*Manage admin tools (eflow/SAP etc.) and processes, e.g. initiate procurment request, arrange contract/document signing and chopping etc. 负责相关行政管理工具（EFLOW/SAP等）和流程，如发起采购申请、安排合同/文件签署和交割等。*Provide other ad-hoc support where needed其他需要支持的工作。3.业务合作部门包括行研，收并购，战略，法务，财务，市场，销售等。4.MBA实习岗，实习工资高（400RMB/天），office地理位置好。岗位要求：1.头部高校的MBA在读生。有市场调研，财务建模，法律文件支持，咨询/私募/风投实习经验优先。2. 很强的分析及辩证思维能力3. 很强的人际沟通能力4. 学习能力强，工作态度好，团队合作者，良好的服务意识5. 良好的中英文语言能力6.每周至少出勤4天，持续6个月，onsite工作。7.工作认真仔细，具有较强的学习能力和自驱力，拥有高度责任心。8.良好的office操作技能，熟悉Excel和PPT操作9.具有契约精神，对于公司相关项目和数据严格保密。",硕士,2人,2024-09-30 10:07,费森尤斯医疗,上海 - 徐汇区 - 港汇中心2座4601,生物|医药,1001~3000人
