工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模,年份,省份
活动运营实习生,100,3个月,： 1 、   立足 项目 目标 ， 结合 重要 节点 ， 参与 面向 目标 用户 活动 策划 ； 2 、   负责 活动 物料 准备 ， 包括 活动 H5 文案 、 重要 活动 推文 、 常规 活动 海报 ； 3 、   跟进 活动 执行 情况 ， 优化 活动 执行 效果 ， 并 活动 收尾 ； 4 、   其他 事宜 ： 1 、 态度端正 、 认真负责 、 思路 敏捷 、 5G 冲浪 达 人 、 一定 文案 能力 、 沟通 表达 无 鸭梨 ； 2 、 活动 经验 设计 能力 优先 ； 3 、 地点 中关村 ， 需 坐班 ， 可 实习 3 - 6 个 月 ， 一周 5 天 （ 接受 偶尔 请假 ） ， 面试 通过 后 1 周内 到 岗 最佳 ， 不 北京 或 长时间 不能 到 岗 勿 投 哦 ！ ！ ！ ： 1 、 互联网 运营 实战经验 2 、 一份 还 可以 实习 工资 + 实习 证明 3 、 团队 成员 年轻 ， 氛围 好 ， leader   nice ； 4 、 实习生 众多 ， 颜值 高 小姐姐 小 哥哥 也 很多 ， 说不定 能 顺便 解决 单身 问题 哦 ； 5 、 偶有 明星 出没 ， 说不定 可以 带薪 追 追星 ~,不限,1,2024-09-30,搜狐,北京省海淀区科学院南路2号院3号楼搜狐媒体大厦,互联网|游戏|软件,3001人及以上,2024,北京
海外运营实习生,190,3个月,： 岗位职责 ： 1 . 运营 数据分析 数据 可视化 ， 包括 且 不 限于 主播 、 营收 、 活动 数据 2 . 协同 本地 员工 解决 用户 侧 反馈 、 需求 3 . 参与 活动 运营 ， 包括 活动 配置 、 上线 复盘 4 . 筛选 优质 创作者 内容 推送 ： 1 .   本科 或 研究生 在读 学生 2 .   英语 6 级 以上 ， 良好 书面 口头 表达能力 ， 印尼语 专业 优先 3 .   适应性 责任心 强 4 .   Base 深圳 ， 一周 到 岗 5 天 （ 最好 ）,本科,1,2024-09-25,腾讯音乐,深圳省南山区科兴科学园,互联网|游戏|软件,1001~3000人,2024,深圳
电商运营,333,6个月,： 1 、 协助 天猫 抖音 平台 电商 运营 ， 整理 汇总 各项 运营 数据 ， 分析 原因 给予 改善 建议 ， 团队 一起 达成 销售 目标 2 、 快速 了解 平台 操作 及 公司 产品 ， 关注 行业动态 ， 收集 竞品 信息 ， 优化 店铺 关键词 策略 ， 协助 电商 运营 专员 推广 3 、 对接 平台 日常 电商 活动 ， 落地 执行 。 4 、 对接 客服 售前 、 售后 接待 处理 ， 订单 审核 、 系统 导入 及 推单 发货 。 ： 1 、 本科 及 以上 ， 医药 、 电商 、 广告 、 计算机 、 市场营销 、 国际贸易 、 会计学 专业 优先 ， 能 熟练 使用 wps 基础 办公 软件 2 、 电商 行业 较 高 学习 热情 ， 互联网 信息 敏感 ； 3 、 适应 快节奏 ， 抗压 能力 好 ； 学习 能力 强 ， 责任心 强 ； 阳光 积极 。 4 、 能够 配合 安排 协调 ， 实习期 满 6 个 月 优秀 实习生 ， 公司 提供 毕业 转正 机会 。 ： -   薪酬 方面 ： 对标 互联网 大厂 企业 薪资 水平 ， 提供 具有 市场 竞争力 薪酬 待遇 ；     -   发展 方面 ： 快速 发展 互联网 医药 平台 ， 个人 发展 机会 多 ， 您 可以 接触 公司 核心 业务 ， 用 实打实 业务 场景 您 赋能 ， 助力 您 成长 ；     -   培训 方面 ： 新人 入职 安排 制度 培训 、 业务培训 、 小组 组长 带教 、 产品 知识 培训 ， 帮助 您 全面 了解 公司 发展 ， 快速 提升 专业技能 ；     -   福利 方面 ： 提供 五险 一金 、 绩效奖金 、 餐补 、 高温 补贴 、 节日 福利 ；     -   氛围 ： 公司 年轻化 ， 95 后 居多 ， 扁平化 管理 ， 不 讲   title ， 不 论资排辈 。,本科,2,2024-09-25,知原药业,杭州省余杭区杭州市余杭区爱力中心B座12层,生物|医药,301~1000人,2024,杭州
销售实习生,150,2个月,： 描述 ： 1 .   负责 地区 销售 机会 跟进 / 转接 ， 协助执行 客户 联络 2 .   完成 报价单 / 合同 、 标书 、 文件 整理 流程 性 工作岗位 ： 任职 ： 1 .   本科 或 研究生 在读 ， 理工科 优先 ， 通信 / 自动化 / 光学 类 专业 优先 2 .   表达 流利 ， 热情 大方 ， 最好 比较 细心 3 .   自驱力 ， 能 有效 完成 分配 实习 任务,本科,1,2024-09-26,虹科电子,广州省黄埔区广州市黄埔区开泰大道30号佳都PCI科技园6号楼17层上海闵行区上海市闵行区紫星路588号2幢703室,IT|通信|电子,51~100人,2024,广州
内网运营,210,3个月,： 岗位职责 ： 1 .   支持 员工 沟通 渠道 、 员工 沟通 项目 数据 整理 、 分析 ， 参与 调研 ， 洞察 用户 行为 ， 发现 问题 ， 提出 改进 建议 。 2 .   支持 员工 社区 日常 运营 ， 年轻化 内容 、 活动 策划 ， 营造 用户 喜爱 、 积极 社区 氛围 。 3 .   支持 组内 日常事务 。 ： 基本 ： 1 .   实习 时间 满 3 个 月 起 ， 每周 到 岗 至少 3 天 。 2 .   专业 不 限 ， 优先 考虑 新闻 、 传播 、 广告 、 营销 相关 专业 。 3 .   较 好 沟通 表达 基础 及 意愿 ， 具备 一定 文字 功底 。 4 .   一定 数据 、 表格 处理 能力 ， 逻辑思维 能力 较强 ， 数据 敏感 。 具备 以下 优先 ： 1 .   产品 、 运营 实习 经验 优先 。 2 .   自 媒体 创作经验 丰富 者 优先 。 3 .   HR 实习 经验 者 优先 。 ： 亮点 ： 1 .   广泛 内容 探索 空间 ， 深度 体验 内容 产品 运营 。,本科,1,2024-09-26,美团,北京省朝阳区望京东路4号恒电大厦,互联网|游戏|软件,1001~3000人,2024,北京
项目助理,147,3个月,： 项目 实习生 （ 远程 ） 【 了解 恒上 】 恒上 咨询 一家 稳健 成长 管理 咨询 公司 ， 致力于 高新科技 （ AI 、 云 计算 、 5G ） 、 金融 、 教育 科技 、 文旅 行业 中 知名企业 ， 提供 高端 人力资源 解决方案 ， 细分 赛道 持续 深耕 ， 客户 输出 可信 行业 市场 认知 可用 之才 ； 我们 服务 包括 但 不 限于 ： 招聘 策略 制定 、 高端 及 高潜 人才 甄聘 ； 客户 包括 ： 亚信 系 企业 ， 金山 ， 东软 ， PingCAP ， 天润 融通 、 智齿 科技 ， 宽带 资本 ， 新东方 文旅 集团 。 【 】 1 .   特定 行业 市场调研 ， 查询 并 整理 所 需 知识点 及 相关 信息 ， 总结 生成 目标 公司 表格 及 或 行研 报告 、 报表 ； 2 .   根据 项目 模板 编辑 候选人 简历 ， 生成 候选人 报告 ； 3 .   协助 业务 及 数据 触发 、 运营 ； 4 .   完成 上级 交代 其他 支持性 ； 5 .   候选人 沟通 （ 含 面试 通知 ） 及 跟进 。 6 .   完成 上级 交代 其他 支持性 ； ： 【 】 7 .   一本 及 以上 统招 本科 / 研究生 学历 ， 专业 包括 但 不 限于 行政 、 经管类 （ 985 、 211 学校 优先 ） ； 8 .   可 连续 实习 3 个 月 及 以上 ， 每周 保证 4 天及 以上 ； 9 .   学习 沟通 能力 强 、 细心 负责 、 积极主动 ； 愿意 尝试 新 工具 以 提升 工作效率 ； 10 .   熟练 使用 Office 各项 办公 软件 。 ： 【 实习 福利 】 11 .   薪资 150 / 天 ， 月结 ； 可 远程 或 现场办公 ； 时间 ： 工作日 9 : 30 - 18 : 30 ； 12 .   提升 数字化 能力 、 时间 管理 、 结果 导向 意识 软性 技能 ； 13 .   理解 、 洞察 多个 符合国家 支持 倡导 行业 赛道 ， 获取 真实 、 价值 状势 认知 ； 14 .   积极 、 共赢 、 利他 共事 团队 ； 15 .   提供 实习 证明 ， 人力 资源管理 咨询 兴趣 小伙伴 ， 经过 实习 后 愿意 继续 共事 ， 转正 机会 。,本科,1,2024-09-26,恒上咨询,北京省通州区万达广场,咨询/法律/人力资源,11~50人,2024,北京
C端产品运营,180,3个月,： 硬性 ： 来 公司 上班 ， 每周 4 + 天 ， 3 个 月 以上 ， 180 元 / 天 ， 内容 相关 实习 经验 ！ 1 . 挖掘 提炼 产品 亮点 卖点 ， 结合 当前 市场需求 ， 输出 宣传 文章 、 解决方案 、 标杆 案例 ， 产品 提供 优质 高 传播 性 内容 ； 2 . 参与 产品 运营 体系 搭建 ， 从 产品 、 用户 、 市场 多角度 综合 考虑 拟定 运营 规划 。 （ 以上 主要 针对 团队 负责 成人 在职 提升 课程 ， 从 产品 维度 活动 、 素材 、 促销 层面 赋能 销售 ， 产品 主管 1V1 带 ， 然后 逐步 独立 负责 某一 产品 ） ： 1 . 本科 以上 ， 新闻学 、 营销学 、 产品 相关 专业 优先 ； 2 . 学习 力强 ， 新鲜 事物 感兴趣 ， 逻辑思维 能力 强 ； 2 . 自 媒体 运营 经验 、 文字 功底 好 ， 善用 文字 清晰 表达 观点 ； 4 . 数据 一定 敏感度 ， 并且 能够 基础 分析 总结 。 ： 1 . 全套 标准化 运营 培训 ； 2 . 了解 在职 群体 ， 提前 掌握 职场 晋升 秘诀 ； 3 . 光环 管理 类 课程 免费 学习 （ 项目 、 产品 、 软考 、 数据分析 ） 。,本科,2,2024-09-27,光环国际,北京省昌平区立水桥中东路398号中煤建设集团大厦东段3层光环国际,教育培训,101~300人,2024,北京
投标专员实习生,175,6个月,： 1 、 配合 业务部门 做好 投标 ， 根据 销售 确认 应标 材料 。 2 、 按照 招标 文件 规范 把 控 时间 节点 ， 完成 响应 材料 投标 文件 编制工作 。 3 、 负责 投标 资源 整合 ， 跨部门 协助 提供 招投标 专业化 支持 。 4 、 招投标 相关 数据 采集 / 分析 。 5 、 领导 交办 其他 。 ： 1 、 本科 或 以上学历 ； 招投标 相关 经验 者 优先 ； 2 、 能 熟练 运用 办公 软件 ， 能 独立 使用 Excel 制作 常规 报表 图表 ， 了解 常用 函数 运用 ； 3 、 态度 积极 开朗 ， 善于 思考 ， 学习 能力 、 沟通 能力 理解能力 强 。 入 职后 2 - 4 周 岗 培训 ， 能够 7 月底 前到 岗 优先,本科,3,2024-09-26,理邦仪器,深圳省坪山新区广东省深圳市坪山区坑梓街道金沙社区金辉路15号,生物|医药,1001~3000人,2024,深圳
结算实习生,87,3个月,： 1 、 协助 部门 数据 统计分析 ； 2 、 协助 部门 档案资料 扫描 ； 3 、 协助 部门 业务 档案 整理 归档 ； 4 、 协助 部门 打印 客户 回单 及 整理 ； 5 、 协助 部门 日常 会务 事务 筹备 。 ： 1 、 全日制 在校学生 ， 男女 均 可 ， 本科 ， 经济 管理 类 专业 ； 2 、 熟练 使用 各种 办公 软件 ， 熟练掌握 PowerPoint 制作 excel 使用 ； 3 、 沟通 能力 好 ， 责任感 强 ， 具有 良好 服务 意识 态度 ； 4 、 诚实 守信 、 认真负责 ， 积极主动 、 吃苦耐劳 ； 5 、 每周 能 到 岗 超 4 - 5 天者 ， 优先 考虑 。 相关 信息 ：   1 、 时间 ： 周一 至 周五 ， 9 : 00 — 17 : 45 ， 每周 至少 到 岗 4 - 5 天 更佳 ；   2 、 地点 ： 广州市 天河区 广州 大道 中圣丰 广场 国际 金融中心 ；   3 、 实习期 ： 至少 3 个 月 ， 实习期 满足 可 开具 实习 证明 。 ： 实习期 ： 至少 3 个 月 ， 实习期 满足 可 开具 实习 证明 。,本科,1,2024-09-30,广汽财务公司,广州省天河区广州大道中圣丰广场国际金融中心,金融,51~100人,2024,广州
新业务发展部MBA实习生,399,6个月,"： 1 . * Support   end - to - end   deal   execution ,   e . g ,   conducting   industry   analysis ,   developing   financial   models ,   building   up   business   cases ,   preparing   legal   documents   ( NDA / Term   sheet / LOI / SPA )   etc . 支持 日常 交易 执行 ， 例如 行业 分析 、 开发 财务 模型 、 建立 业务 案例 、 准备 法律 文件 （ 保密 协议 / 条款 清单 / 意向书 / 分成 协议 ） 。 2 . * Manage   admin   tools   ( eflow / SAP   etc . )   and   processes ,   e . g .   initiate   procurment   request ,   arrange   contract / document   signing   and   chopping   etc .   负责 相关 行政 管理工具 （ EFLOW / SAP ） 流程 ， 如 发起 采购 申请 、 安排 合同 / 文件 签署 交割 。 * Provide   other   ad - hoc   support   where   needed 其他 需要 支持 。 3 . 业务 合作 部门 包括 行研 ， 收 并购 ， 战略 ， 法务 ， 财务 ， 市场 ， 销售 。 4 . MBA 实习 岗 ， 实习 工资 高 （ 400RMB / 天 ） ， office 地理位置 好 。 ： 1 . 头部 高校 MBA 在读 生 。 市场调研 ， 财务 建模 ， 法律 文件 支持 ， 咨询 / 私募 / 风投 实习 经验 优先 。 2 .   很强 分析 及 辩证 思维能力 3 .   很强 人际沟通 能力 4 .   学习 能力 强 ， 态度 好 ， 团队 合作者 ， 良好 服务 意识 5 .   良好 中英文 语言 能力 6 . 每周 至少 出勤 4 天 ， 持续 6 个 月 ， onsite 。 7 . 认真仔细 ， 具有 较强 学习 能力 自驱力 ， 拥有 高度 责任心 。 8 . 良好 office 操作技能 ， 熟悉 Excel PPT 操作 9 . 具有 契约 精神 ， 对于 公司 相关 项目 数据 严格 保密 。",硕士,2,2024-09-30,费森尤斯医疗,上海省徐汇区港汇中心2座4601,生物|医药,1001~3000人,2024,上海
